Time;X;Y;Z
00:00:00.000000;0.00779987351556462;-0.0286698053545078;-0.634951865645422
00:00:00.000399;0.00548099220012649;-0.0278265757852576;-0.633792424987703
00:00:00.000799;0.00316211088468836;-0.026877942519851;-0.633054599114609
00:00:00.001199;0.00105403696156279;-0.0260347129506008;-0.632422176937672
00:00:00.001600;-0.000632422176937672;-0.0251914833813506;-0.631789754760734
00:00:00.002000;-0.00221347761928185;-0.0242428501159441;-0.631368139976109
00:00:00.002399;-0.00389993675778231;-0.0233996205466938;-0.631262736279953
00:00:00.002799;-0.00548099220012649;-0.0226617946735999;-0.631262736279953
00:00:00.003199;-0.00695664394631439;-0.0221347761928185;-0.631262736279953
00:00:00.003600;-0.00801068090787717;-0.0212915466235683;-0.631368139976109
00:00:00.004000;-0.00864310308481484;-0.0205537207504743;-0.631262736279953
00:00:00.004399;-0.00948633265406507;-0.0199212985735367;-0.631368139976109
00:00:00.004799;-0.00990794743869019;-0.0193942800927553;-0.631157332583796
00:00:00.005199;-0.00990794743869019;-0.018551050523505;-0.630946525191484
00:00:00.005600;-0.00969714004637763;-0.0180240320427236;-0.630946525191484
00:00:00.006000;-0.00927552526175252;-0.0172862061696297;-0.631262736279953
00:00:00.006399;-0.00874850678097112;-0.0169699950811609;-0.631684351064578
00:00:00.006799;-0.00790527721172089;-0.0164429766003795;-0.632211369545359
00:00:00.007199;-0.00695664394631439;-0.0158105544234418;-0.633054599114609
00:00:00.007600;-0.00558639589628277;-0.0152835359426604;-0.633687021291547
00:00:00.008000;-0.00411074415009486;-0.0145457100695664;-0.634635654556953
00:00:00.008399;-0.00263509240390697;-0.0140186915887851;-0.635795095214672
00:00:00.008799;-0.000843229569250229;-0.0135970768041599;-0.63727074696086
00:00:00.009199;0.000843229569250229;-0.0129646546272223;-0.638535591314736
00:00:00.009600;0.00263509240390697;-0.0125430398425972;-0.640327454149393
00:00:00.010000;0.00463776263087626;-0.012121425057972;-0.642330124376362
00:00:00.010399;0.00695664394631439;-0.0119106176656595;-0.644438198299487
00:00:00.010799;0.00927552526175252;-0.0115944065771906;-0.646546272222613
00:00:00.011199;0.0116998102733469;-0.0112781954887218;-0.64918136462652
00:00:00.011600;0.0143349026772539;-0.0110673880964093;-0.651394842245802
